row_label_raw,row_label_full,Bên liên quan khác,Tính chất giao dịch,31/12/2024 VND,01/01/2024 VND,numeric__Tính chất giao dịch,numeric__31/12/2024 VND,numeric__01/01/2024 VND
Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Phải trả người bán > Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Chi phí thầu phụ,994.075.040,994.075.040,,994075040.0,994075040.0
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Phải trả người bán > Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Chi phí thầu phụ,820.699.245,741.636.418,,820699245.0,741636418.0
Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,Phải trả người bán > Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,Chi phí thầu phụ,3.468.542.683,-,,3468542683.0,
Chi nhánh Công ty Cổ phần Sơn và Chất phủ Hòa Bình tại Hưng Yên,Phải trả người bán > Chi nhánh Công ty Cổ phần Sơn và Chất phủ Hòa Bình tại Hưng Yên,Chi nhánh Công ty Cổ phần Sơn và Chất phủ Hòa Bình tại Hưng Yên,Chi phí thầu phụ,4.565.463.058,4.565.463.058,,4565463058.0,4565463058.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,,,
Công ty Cổ phần Tiến Phát Sanyo Homes,Người mua trả tiền trước > Công ty Cổ phần Tiến Phát Sanyo Homes,Công ty Cổ phần Tiến Phát Sanyo Homes,Tạm ứng,7.843.452.643,3.130.040.553,,7843452643.0,3130040553.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,,,
Công ty CP Đầu tư Kỹ thuật Jesco Hòa Bình,Chi phí phải trả ngắn hạn > Công ty CP Đầu tư Kỹ thuật Jesco Hòa Bình,Công ty CP Đầu tư Kỹ thuật Jesco Hòa Bình,Chi phí thầu phụ,-,61.612.175.180,,,61612175180.0
Công ty CP Cơ khí Nhôm kính Anh Việt,Chi phí phải trả ngắn hạn > Công ty CP Cơ khí Nhôm kính Anh Việt,Công ty CP Cơ khí Nhôm kính Anh Việt,Chi phí thầu phụ,-,7.828.078.464,,,7828078464.0
Công ty CP Trang trí nội thất Onwa Tech,Chi phí phải trả ngắn hạn > Công ty CP Trang trí nội thất Onwa Tech,Công ty CP Trang trí nội thất Onwa Tech,Chi phí thầu phụ,4.647.789.975,3.728.650.195,,4647789975.0,3728650195.0
Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Chi phí phải trả ngắn hạn > Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Chi phí thầu phụ,2.000.000.000,2.000.000.000,,2000000000.0,2000000000.0
Công ty CP Interhouse LA,Chi phí phải trả ngắn hạn > Công ty CP Interhouse LA,Công ty CP Interhouse LA,Chi phí thầu phụ,2.299.819.522,5.783.013.749,,2299819522.0,5783013749.0
Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Chi phí phải trả ngắn hạn > Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Chi phí lãi vay,798.146.120,503.424.659,,798146120.0,503424659.0
Công ty CP Đầu tư và Năng lượng Tái tạo Hòa Bình,Chi phí phải trả ngắn hạn > Công ty CP Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty CP Đầu tư và Năng lượng Tái tạo Hòa Bình,Chi phí thầu phụ,456.774.585,436.949.090,,456774585.0,436949090.0
Công ty TNHH Sản xuất và Trang trí Mộc Hòa Bình,Chi phí phải trả ngắn hạn > Công ty TNHH Sản xuất và Trang trí Mộc Hòa Bình,Công ty TNHH Sản xuất và Trang trí Mộc Hòa Bình,Chi phí thầu phụ,179.728.967,179.728.968,,179728967.0,179728968.0
